Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
5.04	0.228	-0.106	-0.361	0.222	-0.095	-1.086
5.06	0.221	-0.080	2.734	0.212	-0.158	0.875
5.08	0.222	0.079	2.468	0.212	-0.060	2.641
5.10	0.229	0.067	-0.022	0.211	-0.006	2.274
5.12	0.225	0.022	-0.474	0.212	0.051	0.792
5.14	0.228	0.045	-0.615	0.215	0.033	-0.962
5.16	0.229	0.015	-1.074	0.214	-0.028	-0.784
5.18	0.229	-0.032	-0.148	0.212	-0.033	0.820
5.20	0.225	0.004	0.881	0.211	0.040	1.013
5.22	0.229	0.044	0.200	0.215	0.054	-0.742
5.24	0.229	0.010	-0.477	0.216	-0.029	-0.959
5.26	0.229	0.002	-0.250	0.212	-0.016	0.194
5.28	0.229	0.003	-0.046	0.215	0.006	0.369
5.30	0.229	0.006	-0.043	0.213	0.006	0.300
5.32	0.229	0.004	-0.222	0.215	0.002	0.851
5.34	0.229	-0.002	-0.492	0.212	0.028	1.794
5.36	0.229	-0.014	-0.802	0.215	0.093	1.696
5.38	0.229	-0.035	-0.959	0.216	0.136	-0.318
5.40	0.228	-0.066	-0.424	0.223	0.086	-2.568
5.42	0.225	-0.060	0.574	0.220	0.001	-3.073
5.44	0.226	-0.047	1.662	0.223	-0.078	-1.527
5.46	0.222	0.006	2.488	0.216	-0.090	1.252
5.48	0.225	0.098	1.223	0.216	0.030	1.506
5.50	0.229	0.077	-0.979	0.220	0.023	-0.496
5.52	0.229	0.013	-1.238	0.219	-0.048	-0.221
5.54	0.228	0.007	-0.477	0.216	-0.021	1.524
5.56	0.229	0.011	-0.244	0.217	0.058	1.426
5.58	0.229	0.003	-0.282	0.220	0.065	-0.055
5.60	0.229	-0.004	-0.256	0.220	0.055	-1.518
5.62	0.229	-0.009	-0.170	0.223	-0.029	-1.445
5.64	0.228	-0.012	0.001	0.217	-0.043	0.455
5.66	0.228	-0.007	0.110	0.220	0.025	0.900
5.68	0.228	-0.005	0.074	0.220	0.018	0.063
5.70	0.228	-0.005	-0.062	0.220	0.019	-0.632
5.72	0.228	0.002	-0.624	0.220	0.017	-2.085
5.74	0.228	-0.019	-1.500	0.224	-0.101	-1.765
5.76	0.228	-0.085	-1.084	0.214	-0.112	1.158
5.78	0.224	-0.088	0.489	0.217	-0.005	2.131
5.80	0.224	-0.051	1.363	0.217	-0.017	2.374
5.82	0.221	-0.007	1.035	0.213	0.085	2.425
5.84	0.224	0.010	-0.179	0.221	0.136	0.107
5.86	0.224	-0.049	-0.061	0.222	0.058	-0.947
5.88	0.220	-0.009	0.770	0.221	0.066	-0.669
5.90	0.223	0.028	-0.075	0.225	0.058	-1.340
5.92	0.223	-0.029	-0.174	0.224	0.010	-1.698
5.94	0.221	-0.022	1.249	0.225	-0.018	-1.477
5.96	0.220	0.055	1.196	0.225	-0.093	0.582
5.98	0.224	0.084	-1.171	0.217	0.002	2.566
6.00	0.227	-0.033	-1.819	0.225	0.100	0.516
6.02	0.220	-0.054	0.337	0.225	0.027	-1.873
6.04	0.223	0.018	1.134	0.225	-0.017	-2.388
6.06	0.223	0.019	0.635	0.225	-0.102	-1.053
6.08	0.223	0.033	0.235	0.219	-0.076	1.264
6.10	0.224	0.044	-0.726	0.222	-0.022	2.120
6.12	0.227	-0.006	-1.135	0.218	0.023	2.031
6.14	0.223	-0.039	0.031	0.222	0.094	0.313
6.16	0.223	0.017	0.440	0.225	0.024	-0.951
6.18	0.226	-0.001	0.031	0.221	0.014	-0.396
6.20	0.223	-0.017	0.858	0.225	0.037	-0.939
6.22	0.223	0.052	0.763	0.225	-0.025	-1.326
6.24	0.227	0.053	-0.884	0.222	-0.027	-1.032
6.26	0.227	-0.003	-1.606	0.225	-0.077	-0.141
6.28	0.226	-0.054	-0.427	0.218	-0.075	2.309
6.30	0.223	-0.034	1.392	0.218	0.075	2.102
6.32	0.224	0.047	1.224	0.225	0.062	-0.381
6.34	0.227	0.044	-0.289	0.222	-0.006	-0.329
6.36	0.226	0.002	-0.536	0.222	0.037	0.285
6.38	0.226	0.008	-0.111	0.224	0.044	-0.519
6.40	0.227	0.015	-0.286	0.225	0.012	-1.227
6.42	0.227	0.002	-0.665	0.225	-0.015	-1.415
6.44	0.227	-0.016	-0.851	0.224	-0.056	-0.917
6.46	0.227	-0.052	-0.167	0.222	-0.066	0.134
6.48	0.223	-0.025	0.615	0.221	-0.038	0.601
6.50	0.226	-0.005	0.379	0.221	-0.018	0.144
6.52	0.223	0.000	-0.228	0.222	-0.049	0.317
6.54	0.227	-0.022	-0.422	0.218	-0.044	1.857
6.56	0.223	-0.063	1.186	0.217	0.080	1.017
6.58	0.220	0.050	1.643	0.224	0.047	-1.961
6.60	0.227	0.078	-1.065	0.220	-0.059	-2.261
6.62	0.227	-0.032	-2.102	0.220	-0.083	-0.738
6.64	0.224	-0.059	-0.833	0.217	-0.101	1.572
6.66	0.224	-0.068	0.791	0.213	0.040	1.552
6.68	0.219	0.011	1.011	0.224	-0.050	1.516
6.70	0.227	-0.024	0.882	0.206	0.044	3.437
6.72	0.217	-0.002	2.449	0.224	0.217	0.054
6.74	0.224	0.136	1.330	0.224	0.028	-2.574
