Red:Wavelength(nm),Red:Intensity,Blue:Wavelength(nm),Blue:Intensity,Orange:Wavelength(nm),Orange:Intensity,Yellow:Wavelength(nm),Yellow:Intensity,Green:Wavelength(nm),Green:Intensity,White Blue:Wavelength(nm),White Blue:Intensity,Red 2:Wavelength(nm),Red 2:Intensity,Red 3:Wavelength(nm),Red 3:Intensity,Red 4:Wavelength(nm),Red 4:Intensity
426.7,0.000686,426.7,0.008398,426.7,0.00172,426.7,0.000524,426.7,0.000564,426.7,0.530779,426.7,7.12E-05,426.7,0.001554,426.7,0.001238
427.5,0.000435,427.5,0.009029,427.5,0.001735,427.5,0.00033,427.5,0.000911,427.5,0.477595,427.5,0.000673,427.5,0.001353,427.5,0.001154
428.3,0.000143,428.3,0.009027,428.3,0.000798,428.3,0.000104,428.3,0.000418,428.3,0.429737,428.3,0.000505,428.3,0.00094,428.3,0.000375
429.1,0.000383,429.1,0.010042,429.1,0.001411,429.1,0.000951,429.1,0.001187,429.1,0.386846,429.1,0.001317,429.1,0.001279,429.1,0.001177
430,0.000591,430,0.009915,430,0.001088,430,0.000654,430,0.000556,430,0.347507,430,0.000962,430,0.001054,430,0.001381
430.8,0.001032,430.8,0.010497,430.8,0.000988,430.8,0.000429,430.8,0.000743,430.8,0.312594,430.8,0.000489,430.8,0.001035,430.8,0.001389
431.6,0.000164,431.6,0.009935,431.6,0.000411,431.6,-0.0001,431.6,-0.00017,431.6,0.282473,431.6,-0.00022,431.6,0.000539,431.6,0.000635
432.5,0.000359,432.5,0.011335,432.5,0.000253,432.5,0.000138,432.5,0.000386,432.5,0.256488,432.5,-0.00064,432.5,0.000829,432.5,-9.10E-06
433.3,0.000799,433.3,0.012579,433.3,0.001036,433.3,0.000467,433.3,0.000366,433.3,0.232798,433.3,0.000253,433.3,0.000973,433.3,0.000408
434.1,0.001483,434.1,0.014178,434.1,0.001369,434.1,0.000374,434.1,0.000846,434.1,0.212067,434.1,0.000882,434.1,0.001346,434.1,0.000891
435,0.001381,435,0.01526,435,0.002356,435,0.00061,435,0.000832,435,0.192818,435,0.001141,435,0.001224,435,0.001786
435.8,0.000493,435.8,0.015852,435.8,0.001268,435.8,0.000185,435.8,0.001085,435.8,0.176567,435.8,0.000458,435.8,0.000921,435.8,0.001666
436.6,-4.79E-05,436.6,0.018425,436.6,0.001244,436.6,0.000408,436.6,0.000638,436.6,0.161794,436.6,0.000391,436.6,0.000731,436.6,0.001049
437.4,-0.0005,437.4,0.020853,437.4,0.000374,437.4,-0.00045,437.4,0.000953,437.4,0.148677,437.4,0.00056,437.4,0.000287,437.4,0.000664
438.3,5.28E-05,438.3,0.024705,438.3,0.001753,438.3,0.000954,438.3,0.000973,438.3,0.136909,438.3,0.00131,438.3,0.001029,438.3,0.001146
439.1,0.001151,439.1,0.028215,439.1,0.002016,439.1,0.001214,439.1,0.001908,439.1,0.127401,439.1,0.001577,439.1,0.001626,439.1,0.001511
439.9,0.001416,439.9,0.032378,439.9,0.00235,439.9,0.001451,439.9,0.001285,439.9,0.117382,439.9,0.001295,439.9,0.001488,439.9,0.001517
440.8,0.001113,440.8,0.036576,440.8,0.001396,440.8,0.000442,440.8,0.000642,440.8,0.109979,440.8,0.001163,440.8,0.00094,440.8,0.000879
441.6,0.000322,441.6,0.041611,441.6,0.001454,441.6,0.000552,441.6,0.000189,441.6,0.1028,441.6,0.000904,441.6,0.001011,441.6,0.001127
442.4,0.000477,442.4,0.048444,442.4,0.000781,442.4,0.000718,442.4,0.000394,442.4,0.096958,442.4,0.001426,442.4,0.001122,442.4,0.000993
443.3,0.000385,443.3,0.056551,443.3,0.000598,443.3,0.001022,443.3,0.000685,443.3,0.090225,443.3,0.000831,443.3,0.00063,443.3,0.001272
444.1,0.000915,444.1,0.066702,444.1,0.000442,444.1,0.001401,444.1,0.000128,444.1,0.084528,444.1,0.000847,444.1,0.000492,444.1,0.001176
444.9,0.001047,444.9,0.078171,444.9,0.00096,444.9,0.001435,444.9,-0.00016,444.9,0.079565,444.9,0.000278,444.9,0.000813,444.9,0.001308
445.7,0.001131,445.7,0.091123,445.7,0.001698,445.7,0.001978,445.7,1.98E-05,445.7,0.07471,445.7,0.001713,445.7,0.001589,445.7,0.001613
446.6,0.000457,446.6,0.104413,446.6,0.000973,446.6,0.00076,446.6,-0.0002,446.6,0.069585,446.6,0.000666,446.6,0.000826,446.6,0.001122
447.4,0.000169,447.4,0.118287,447.4,0.000563,447.4,0.000357,447.4,0.000113,447.4,0.065124,447.4,0.000512,447.4,0.000352,447.4,0.000629
448.2,0.000196,448.2,0.133927,448.2,-2.85E-05,448.2,-5.88E-05,448.2,0.00043,448.2,0.062577,448.2,-0.00091,448.2,2.47E-05,448.2,0.000731
449.1,-0.00012,449.1,0.150092,449.1,0.00043,449.1,0.000104,449.1,0.000849,449.1,0.058988,449.1,-0.0002,449.1,8.51E-06,449.1,0.001011
449.9,0.000383,449.9,0.166721,449.9,0.000616,449.9,0.000892,449.9,0.000715,449.9,0.056622,449.9,0.000427,449.9,0.000511,449.9,0.001829
450.7,0.000149,450.7,0.183078,450.7,0.0005,450.7,0.000873,450.7,0.000803,450.7,0.052701,450.7,0.000558,450.7,0.000855,450.7,0.001089
451.6,0.000335,451.6,0.198689,451.6,0.000717,451.6,0.000871,451.6,0.000933,451.6,0.050301,451.6,0.00046,451.6,0.000926,451.6,0.001561
452.4,0.000525,452.4,0.21496,452.4,0.00113,452.4,0.00118,452.4,0.001077,452.4,0.047752,452.4,0.00021,452.4,0.001157,452.4,0.001255
453.2,0.00063,453.2,0.228507,453.2,0.000957,453.2,0.00027,453.2,4.37E-05,453.2,0.045219,453.2,-0.00027,453.2,-0.00012,453.2,0.001011
454,0.001229,454,0.241863,454,0.001551,454,0.000864,454,0.000543,454,0.043379,454,0.000491,454,0.000544,454,0.001074
454.9,0.000953,454.9,0.251883,454.9,0.001721,454.9,0.000622,454.9,0.000989,454.9,0.040957,454.9,0.000739,454.9,0.000681,454.9,0.00084
455.7,0.000376,455.7,0.260983,455.7,0.002307,455.7,0.001337,455.7,0.00138,455.7,0.039979,455.7,0.001142,455.7,0.001629,455.7,0.001067
456.5,6.19E-05,456.5,0.26749,456.5,0.001543,456.5,0.000619,456.5,0.000724,456.5,0.038,456.5,0.000376,456.5,0.001082,456.5,0.000422
457.4,-0.00066,457.4,0.271047,457.4,0.000919,457.4,0.000529,457.4,0.000658,457.4,0.036247,457.4,-1.90E-05,457.4,0.000386,457.4,0.000503
458.2,-0.00013,458.2,0.273036,458.2,0.000289,458.2,0.000578,458.2,0.000637,458.2,0.034638,458.2,0.000197,458.2,7.68E-05,458.2,0.001038
459,0.000219,459,0.272321,459,0.00018,459,0.000131,459,0.000403,459,0.03337,459,0.000461,459,5.91E-05,459,0.001146
459.9,0.00083,459.9,0.268266,459.9,0.000301,459.9,-0.0001,459.9,-8.19E-06,459.9,0.032761,459.9,0.000263,459.9,0.000389,459.9,0.001323
460.7,0.001357,460.7,0.262377,460.7,0.001096,460.7,8.24E-05,460.7,0.000468,460.7,0.032163,460.7,0.000502,460.7,0.000958,460.7,0.000958
461.5,0.001197,461.5,0.252336,461.5,0.001229,461.5,0.000309,461.5,0.000532,461.5,0.030551,461.5,-0.00011,461.5,0.001267,461.5,0.000956
462.3,0.000728,462.3,0.243214,462.3,0.00118,462.3,-0.00024,462.3,-0.00012,462.3,0.029076,462.3,0.000114,462.3,0.000993,462.3,0.000308
463.2,0.000747,463.2,0.232121,463.2,0.001108,463.2,-0.00061,463.2,0.000128,463.2,0.027832,463.2,-5.23E-05,463.2,0.001181,463.2,-0.0001
464,0.001214,464,0.22088,464,0.001645,464,0.000169,464,0.000575,464,0.027768,464,0.000921,464,0.001069,464,0.000443
464.8,0.000993,464.8,0.206847,464.8,0.001601,464.8,0.000226,464.8,0.000439,464.8,0.026597,464.8,0.000794,464.8,0.001098,464.8,0.000873
465.7,0.000514,465.7,0.193155,465.7,0.001944,465.7,-6.78E-05,465.7,-0.00011,465.7,0.02573,465.7,0.00113,465.7,0.000572,465.7,0.001342
466.5,8.69E-05,466.5,0.17768,466.5,0.001406,466.5,-9.65E-05,466.5,-0.00042,466.5,0.025035,466.5,0.000887,466.5,0.000321,466.5,0.00108
467.3,-0.00016,467.3,0.164858,467.3,0.001125,467.3,-0.00016,467.3,0.000199,467.3,0.023886,467.3,0.000859,467.3,0.000436,467.3,0.000319
468.2,0.000113,468.2,0.150381,468.2,0.000616,468.2,0.000425,468.2,0.000185,468.2,0.023499,468.2,0.000643,468.2,0.000752,468.2,0.000258
469,0.000609,469,0.139336,469,0.000786,469,0.000163,469,0.000532,469,0.023354,469,0.000687,469,0.001005,469,0.00019
469.8,0.000745,469.8,0.128309,469.8,0.001281,469.8,0.000322,469.8,0.00058,469.8,0.02431,469.8,0.000749,469.8,0.00095,469.8,0.001721
470.6,0.000553,470.6,0.118317,470.6,0.000774,470.6,-0.00014,470.6,-0.00018,470.6,0.023706,470.6,0.000414,470.6,5.69E-05,470.6,0.001178
471.5,0.000102,471.5,0.109723,471.5,0.000613,471.5,-7.49E-05,471.5,-0.00052,471.5,0.02347,471.5,0.000136,471.5,2.06E-05,471.5,0.000962
472.3,0.000154,472.3,0.101867,472.3,0.00037,472.3,0.000415,472.3,-0.00084,472.3,0.02328,472.3,0.000139,472.3,-0.00029,472.3,-0.00012
473.1,-0.00019,473.1,0.095097,473.1,0.000719,473.1,0.000583,473.1,-6.09E-05,473.1,0.022686,473.1,2.11E-05,473.1,0.000227,473.1,0.000666
474,0.000301,474,0.088221,474,0.001189,474,0.001198,474,0.000397,474,0.022926,474,0.000307,474,0.000863,474,0.001092
474.8,0.000818,474.8,0.081648,474.8,0.001183,474.8,0.000374,474.8,0.000603,474.8,0.022096,474.8,0.00079,474.8,0.000875,474.8,0.000948
475.6,0.000915,475.6,0.074552,475.6,0.001494,475.6,0.000654,475.6,0.000308,475.6,0.02188,475.6,0.000904,475.6,0.000824,475.6,0.000759
476.5,0.000262,476.5,0.067434,476.5,0.001082,476.5,0.000138,476.5,-0.0002,476.5,0.020553,476.5,0.000442,476.5,9.22E-05,476.5,0.000799
477.3,-0.00012,477.3,0.060641,477.3,0.001507,477.3,0.000411,477.3,-0.00028,477.3,0.02008,477.3,0.000411,477.3,0.000331,477.3,0.001361
478.1,-0.00038,478.1,0.054902,478.1,0.001338,478.1,-0.00021,478.1,-4.09E-05,478.1,0.019836,478.1,2.39E-05,478.1,9.25E-05,478.1,0.001222
478.9,5.74E-05,478.9,0.049417,478.9,0.001508,478.9,-0.00042,478.9,0.000573,478.9,0.019542,478.9,0.000154,478.9,0.000343,478.9,0.000688
479.8,0.000629,479.8,0.044439,479.8,0.002319,479.8,0.000411,479.8,0.000839,479.8,0.019639,479.8,0.000228,479.8,0.00062,479.8,0.001411
480.6,0.000704,480.6,0.040129,480.6,0.002452,480.6,0.000662,480.6,0.001254,480.6,0.019751,480.6,0.000998,480.6,0.000879,480.6,0.001209
481.4,0.00062,481.4,0.036383,481.4,0.002377,481.4,0.001157,481.4,0.00102,481.4,0.01996,481.4,0.001656,481.4,0.000717,481.4,0.001855
482.3,0.000914,482.3,0.032701,482.3,0.001426,482.3,0.00046,482.3,0.001252,482.3,0.019988,482.3,0.001713,482.3,0.000711,482.3,0.001207
483.1,0.001046,483.1,0.02884,483.1,0.001269,483.1,0.000325,483.1,0.000524,483.1,0.018653,483.1,0.000881,483.1,0.000504,483.1,0.001052
483.9,0.000532,483.9,0.026317,483.9,0.001263,483.9,-0.00017,483.9,0.00041,483.9,0.017569,483.9,0.000214,483.9,0.000501,483.9,0.00071
484.8,-0.00113,484.8,0.022972,484.8,0.000839,484.8,-0.00043,484.8,-0.00045,484.8,0.016647,484.8,-0.00101,484.8,0.000352,484.8,0.000203
485.6,-0.0013,485.6,0.021021,485.6,0.000889,485.6,-0.00016,485.6,7.77E-05,485.6,0.017063,485.6,-0.00061,485.6,0.000976,485.6,0.000606
486.4,-0.00063,486.4,0.018813,486.4,0.000647,486.4,-0.00046,486.4,-0.00012,486.4,0.017019,486.4,-0.00014,486.4,0.00137,486.4,0.000309
487.2,0.000123,487.2,0.017706,487.2,0.000994,487.2,0.0007,487.2,0.000566,487.2,0.017555,487.2,0.001046,487.2,0.001829,487.2,0.000679
488.1,0.000164,488.1,0.016913,488.1,0.001546,488.1,0.000725,488.1,0.000737,488.1,0.017241,488.1,0.001473,488.1,0.001685,488.1,0.00144
488.9,-2.59E-05,488.9,0.015699,488.9,0.002006,488.9,0.00091,488.9,0.000549,488.9,0.017019,488.9,0.001225,488.9,0.001834,488.9,0.001566
489.7,0.000388,489.7,0.015193,489.7,0.002191,489.7,0.000597,489.7,0.000961,489.7,0.016501,489.7,0.001004,489.7,0.002022,489.7,0.001886
490.6,0.000672,490.6,0.014083,490.6,0.001929,490.6,0.000206,490.6,0.000142,490.6,0.015853,490.6,-0.00011,490.6,0.001414,490.6,0.000609
491.4,0.000458,491.4,0.01374,491.4,0.001828,491.4,0.000992,491.4,0.001001,491.4,0.016126,491.4,-4.20E-05,491.4,0.001219,491.4,0.001322
492.2,0.000694,492.2,0.013484,492.2,0.002198,492.2,0.001196,492.2,0.000619,492.2,0.015649,492.2,0.000168,492.2,0.001305,492.2,0.001474
493.1,0.000874,493.1,0.012835,493.1,0.002071,493.1,0.001123,493.1,0.001237,493.1,0.015668,493.1,0.000389,493.1,0.00128,493.1,0.001382
493.9,0.00141,493.9,0.011994,493.9,0.002252,493.9,0.000943,493.9,0.000655,493.9,0.015443,493.9,0.000536,493.9,0.00138,493.9,0.001045
494.7,0.001415,494.7,0.011004,494.7,0.002157,494.7,0.000493,494.7,0.000907,494.7,0.01552,494.7,0.000356,494.7,0.000964,494.7,0.000829
495.5,0.001484,495.5,0.010202,495.5,0.002057,495.5,0.001375,495.5,0.001067,495.5,0.015829,495.5,0.000742,495.5,0.001665,495.5,0.002185
496.4,0.000553,496.4,0.008716,496.4,0.001683,496.4,0.000565,496.4,0.000577,496.4,0.015349,496.4,0.000406,496.4,0.000983,496.4,0.001938
497.2,0.000841,497.2,0.008325,497.2,0.001557,497.2,0.000327,497.2,0.000386,497.2,0.015045,497.2,0.000348,497.2,0.000537,497.2,0.001736
498,0.00094,498,0.008126,498,0.002145,498,0.000276,498,0.000282,498,0.014849,498,0.001319,498,0.000626,498,0.001638
498.9,0.001012,498.9,0.008322,498.9,0.002263,498.9,0.00102,498.9,0.001381,498.9,0.01434,498.9,0.001861,498.9,0.000919,498.9,0.002187
499.7,0.000439,499.7,0.007669,499.7,0.001451,499.7,0.001037,499.7,0.001321,499.7,0.014051,499.7,0.002322,499.7,0.001211,499.7,0.002294
500.5,-6.19E-05,500.5,0.00747,500.5,0.000725,500.5,-2.13E-05,500.5,0.00121,500.5,0.013518,500.5,0.000991,500.5,0.000671,500.5,0.001304
501.4,-0.00023,501.4,0.006809,501.4,0.001067,501.4,-0.00062,501.4,0.000286,501.4,0.013616,501.4,0.000366,501.4,0.000893,501.4,0.000488
502.2,8.34E-05,502.2,0.006509,502.2,0.001768,502.2,-0.00015,502.2,0.000735,502.2,0.013658,502.2,0.000329,502.2,0.000852,502.2,0.000917
