,mass A,,
t,x,y,
4.194,7.640E-2,-9.432E-2
4.211,6.629E-2,-9.360E-2
4.228,5.778E-2,-9.263E-2
4.245,5.134E-2,-9.149E-2
4.262,4.711E-2,-9.051E-2
4.279,4.531E-2,-9.022E-2
4.295,4.608E-2,-9.047E-2
4.312,4.922E-2,-9.112E-2
4.329,5.490E-2,-9.213E-2
4.346,6.261E-2,-9.325E-2
4.363,7.211E-2,-9.413E-2
4.380,8.303E-2,-9.469E-2
4.397,9.433E-2,-9.468E-2
4.413,0.106,-9.419E-2
4.430,0.117,-9.368E-2
4.447,0.126,-9.530E-2
4.464,0.134,-9.409E-2
4.481,0.140,-9.305E-2
4.498,0.143,-9.251E-2
4.514,0.143,-9.238E-2
4.531,0.141,-9.294E-2
4.548,0.136,-9.384E-2
4.565,0.129,-9.508E-2
4.582,0.119,-9.384E-2
4.599,0.109,-9.463E-2
4.616,9.763E-2,-9.510E-2
4.632,8.618E-2,-9.500E-2
4.649,7.513E-2,-9.459E-2
4.666,6.513E-2,-9.381E-2
4.683,5.702E-2,-9.273E-2
4.700,5.092E-2,-9.152E-2
4.717,4.688E-2,-9.085E-2
4.733,4.544E-2,-9.048E-2
4.750,4.648E-2,-9.070E-2
4.767,4.983E-2,-9.160E-2
4.784,5.552E-2,-9.264E-2
4.801,6.323E-2,-9.377E-2
4.818,7.289E-2,-9.487E-2
4.835,8.375E-2,-9.520E-2
4.851,9.518E-2,-9.523E-2
4.868,0.106,-9.479E-2
4.885,0.117,-9.400E-2
4.902,0.126,-9.555E-2
4.919,0.133,-9.408E-2
4.936,0.138,-9.277E-2
4.952,0.140,-9.194E-2
4.969,0.141,-9.199E-2
4.986,0.139,-9.293E-2
5.003,0.134,-9.406E-2
5.020,0.127,-9.338E-2
5.037,0.118,-9.392E-2
5.054,0.107,-9.457E-2
5.070,9.643E-2,-9.513E-2
5.087,8.484E-2,-9.500E-2
5.104,7.378E-2,-9.465E-2
5.121,6.404E-2,-9.394E-2
5.138,5.593E-2,-9.305E-2
5.155,4.819E-2,-9.185E-2
5.171,4.416E-2,-9.102E-2
5.188,4.257E-2,-9.085E-2
5.205,4.413E-2,-9.107E-2
5.222,4.838E-2,-9.175E-2
5.239,5.508E-2,-9.277E-2
5.256,6.366E-2,-9.384E-2
5.273,7.373E-2,-9.462E-2
5.289,8.484E-2,-9.507E-2
5.306,9.621E-2,-9.489E-2
5.323,0.107,-9.436E-2
5.340,0.118,-9.361E-2
5.357,0.126,-9.280E-2
5.374,0.133,-9.225E-2
5.390,0.138,-9.141E-2
5.407,0.142,-9.250E-2
5.424,0.142,-9.271E-2
5.441,0.139,-9.321E-2
5.458,0.133,-9.229E-2
5.475,0.125,-9.312E-2
5.491,0.116,-9.409E-2
5.508,0.106,-9.480E-2
5.525,9.512E-2,-9.512E-2
5.542,8.388E-2,-9.511E-2
5.559,7.312E-2,-9.459E-2
5.576,6.378E-2,-9.374E-2
5.593,5.612E-2,-9.277E-2
5.609,5.038E-2,-9.190E-2
5.626,4.431E-2,-9.110E-2
5.643,4.309E-2,-9.100E-2
5.660,4.483E-2,-9.119E-2
5.677,4.959E-2,-9.210E-2
5.694,5.619E-2,-9.297E-2
5.710,6.499E-2,-9.397E-2
5.727,7.490E-2,-9.471E-2
5.744,8.576E-2,-9.492E-2
5.761,9.702E-2,-9.486E-2
5.778,0.108,-9.434E-2
5.795,0.118,-9.436E-2
5.812,0.127,-9.519E-2
5.828,0.133,-9.395E-2
5.845,0.138,-9.277E-2
5.862,0.140,-9.203E-2
5.879,0.140,-9.203E-2
5.896,0.137,-9.281E-2
5.913,0.133,-9.401E-2
5.929,0.126,-9.553E-2
5.946,0.117,-9.659E-2
5.963,0.107,-9.726E-2
5.980,9.539E-2,-9.522E-2
5.997,8.393E-2,-9.512E-2
6.014,7.351E-2,-9.755E-2
